City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Maniitsoq,65.4167,-52.9,20.71,84,100,20.24,GL,2021-04-15 02:23:55
67,Alugan,12.2188,125.4808,81.84,82,100,6.6,PH,2021-04-15 02:23:56
68,Hurghada,27.2574,33.8129,66.2,24,0,4.61,EG,2021-04-15 02:22:11
69,Gashua,12.871,11.0482,79.81,6,3,8.57,NG,2021-04-15 02:23:21
70,Stromness,58.965,-3.296,37.4,93,65,3.44,GB,2021-04-15 02:23:56
71,Bangassou,4.7413,22.8184,70.23,83,61,1.01,CF,2021-04-15 02:23:57
72,Lompoc,34.6391,-120.4579,55.4,62,67,11.5,US,2021-04-15 02:11:32
73,Richards Bay,-28.783,32.0377,72.27,88,49,8.61,ZA,2021-04-15 02:20:16
74,Hare Bay,48.8499,-54.0148,30.2,93,15,2.3,CA,2021-04-15 02:23:57
75,Solhan,38.9634,41.0293,39.45,72,46,2.91,TR,2021-04-15 02:23:57
76,Burns Lake,54.2331,-125.7533,64.4,22,88,1.14,CA,2021-04-15 02:23:58
77,Sorland,67.667,12.6934,41.09,82,100,24.9,NO,2021-04-15 02:23:58
78,Cidreira,-30.1811,-50.2056,71.37,70,95,19.55,BR,2021-04-15 02:14:46
79,Thompson,55.7435,-97.8558,30.2,34,20,2.3,CA,2021-04-15 02:23:58
80,Gamba,-2.65,10.0,74.64,86,100,3.98,GA,2021-04-15 02:23:59
81,Nguruka,-5.1092,31.0419,62.87,98,97,1.88,TZ,2021-04-15 02:23:59
82,Hilo,19.7297,-155.09,80.6,54,1,11.5,US,2021-04-15 02:23:59
83,Edea,3.8,10.1333,78.8,94,40,2.3,CM,2021-04-15 02:24:00
84,Seybaplaya,19.65,-90.6667,82.02,68,44,11.12,MX,2021-04-15 02:24:00
85,Tahoua,14.8888,5.2692,82.38,5,100,8.59,NE,2021-04-15 02:24:00
86,Cherskiy,68.75,161.3,18.84,63,1,4.68,RU,2021-04-15 02:24:01
87,Hobart,-42.8794,147.3294,59.0,38,20,20.71,AU,2021-04-15 02:24:01
88,Grand Gaube,-20.0064,57.6608,75.0,87,96,1.99,MU,2021-04-15 02:24:01
89,Isangel,-19.55,169.2667,84.2,79,20,6.91,VU,2021-04-15 02:19:56
90,Takoradi,4.8845,-1.7554,79.65,85,100,7.4,GH,2021-04-15 02:14:37
91,Ladnun,27.65,74.3833,78.22,21,42,5.23,IN,2021-04-15 02:24:02
92,Kirakira,-10.4544,161.9205,84.92,74,100,5.95,SB,2021-04-15 02:24:02
93,Sirjan,29.452,55.6814,55.56,66,16,5.79,IR,2021-04-15 02:24:02
94,Vostok,46.4856,135.8833,34.7,34,2,11.72,RU,2021-04-15 02:24:03
95,Pevek,69.7008,170.3133,7.07,71,16,4.65,RU,2021-04-15 02:22:49
96,Poum,-20.2333,164.0167,78.1,82,99,11.41,NC,2021-04-15 02:24:03
97,Ballina,-28.8667,153.5667,78.8,44,0,2.3,AU,2021-04-15 02:14:04
98,Georgetown,5.4112,100.3354,86.0,74,20,4.61,MY,2021-04-15 02:24:03
99,Bambous Virieux,-20.3428,57.7575,77.0,88,75,2.3,MU,2021-04-15 02:19:35
100,Talnakh,69.4865,88.3972,9.86,93,100,9.17,RU,2021-04-15 02:24:04
